종목명,업종명
노블엠앤비,의료·정밀기기
노을,의료·정밀기기
녹십자엠에스,제약
녹십자웰빙,제약
녹원씨엔아이,출판·매체복제
농우바이오,"농업, 임업 및 어업"
누리플랜,금속
누리플렉스,소프트웨어
누보,화학
뉴로메카,기계·장비
뉴보텍,화학
뉴인텍,운송장비·부품
뉴지랩파마,유통
뉴트리,음식료·담배
뉴파워프라즈마,기계·장비
뉴프렉스,IT부품
다날,디지털컨텐츠
다보링크,통신장비
다산네트웍스,통신장비
다산솔루에타,IT부품
다우데이타,유통
다원시스,IT부품
대동금속,금속
대동기어,기계·장비
대동스틸,금속
대륙제관,금속
대림제지,종이·목재
대명소노시즌,유통
대명에너지,건설
대모,기계·장비
대보마그네틱,기계·장비
대봉엘에스,제약
대성미생물,제약
대성창투,금융
대성파인텍,운송장비·부품
대성하이텍,기계·장비
대신밸런스제13호스팩,금융
대신밸런스제14호스팩,금융
대신밸런스제15호스팩,금융
대신밸런스제16호스팩,금융
대신정보통신,컴퓨터서비스
대아티아이,일반전기전자
대양전기공업,운송장비·부품
대양제지,종이·목재
대원,건설
대원미디어,유통
대원산업,운송장비·부품
대유,화학
대유에이피,운송장비·부품
대정화금,화학
대주산업,음식료·담배
대주전자재료,IT부품
대창솔루션,금속
대창스틸,금속
대한과학,유통
대한광통신,일반전기전자
대한뉴팜,제약
대한약품,제약
대호특수강,금속
대호특수강우,금속
대화제약,제약
더네이쳐홀딩스,섬유·의류
더라미,기타서비스
더블유씨피,일반전기전자
더블유에스아이,유통
더코디,반도체
덕산네오룩스,반도체
덕산테코피아,반도체
덕산하이메탈,일반전기전자
덕신하우징,금속
덕우전자,일반전기전자
데브시스터즈,디지털컨텐츠
데이타솔루션,정보기기
덱스터,오락·문화
덴티스,의료·정밀기기
도이치모터스,유통
동구바이오제약,제약
동국S&C,금속
동국산업,금속
동국알앤에스,비금속
동국제약,제약
동방선기,운송장비·부품
동성화인텍,화학
동신건설,건설
동아엘텍,기계·장비
동아화성,화학
동양에스텍,금속
동양이엔피,IT부품
동양파일,비금속
동우팜투테이블,음식료·담배
